stamp,ax,ay,az,gx,gy,gz,px,py,pz,vx,vy,vz,qw,qx,qy,qz,bw_x,bw_y,bw_z,ba_x,ba_y,ba_z
1782727127.477632284,-4.662394779,-0.350512648,8.725280987,0.014633399,-0.011229329,-0.018067256,0.000099562,-0.000104805,-0.000103316,0.002796263,-0.006024667,-0.003702294,0.973071469,-0.003026249,0.230483747,0.000018034,0.011528156,-0.005530163,-0.004559705,0.000000000,-0.000000000,0.000000000
1782727127.482044935,-4.508712874,-0.254461439,8.823733457,0.021024991,-0.012294592,-0.011675671,0.000110321,-0.000133770,-0.000118672,0.002079768,-0.007103696,-0.003257771,0.973074680,-0.003017965,0.230470299,-0.000007267,0.011528156,-0.005530163,-0.004559705,0.000000000,-0.000000000,0.000000000
1782727127.487705469,-4.583152546,0.026488284,8.905376969,0.031677637,-0.000576683,-0.008479878,0.000120701,-0.000174881,-0.000134512,0.001587931,-0.007421608,-0.002338864,0.973075396,-0.002980741,0.230467758,-0.000032125,0.011528156,-0.005530163,-0.004559705,0.000000000,-0.000000000,0.000000000
1782727127.491975069,-4.424668082,0.196979156,8.866956493,0.026351314,0.005814903,-0.011675671,0.000127120,-0.000205027,-0.000143026,0.001418941,-0.006699783,-0.001649319,0.973071497,-0.002947130,0.230484650,-0.000052243,0.011528156,-0.005530163,-0.004559705,0.000000000,-0.000000000,0.000000000
1782727127.497812510,-4.566343588,0.228195793,8.864555213,0.013568137,-0.002707212,-0.006349348,0.000134706,-0.000239546,-0.000150287,0.001180019,-0.005126794,-0.000838389,0.973066802,-0.002926178,0.230504730,-0.000070623,0.011528156,-0.005530163,-0.004559705,0.000000000,-0.000000000,0.000000000
1782727127.502180576,-4.290196416,0.247406031,8.792516820,0.019959722,-0.000576683,-0.001023028,0.000139885,-0.000259134,-0.000153230,0.001191394,-0.003841930,-0.000509232,0.973064878,-0.002914610,0.230512998,-0.000071427,0.011528156,-0.005530163,-0.004559705,0.000000000,-0.000000000,0.000000000
1782727127.507786989,-4.357432249,0.247406031,8.708472029,0.012502875,-0.000576683,0.007499088,0.000147526,-0.000275915,-0.000156734,0.001534519,-0.002144645,-0.000740745,0.973061717,-0.002896742,0.230526572,-0.000053237,0.011528156,-0.005530163,-0.004559705,0.000000000,-0.000000000,0.000000000
1782727127.512041569,-4.609566624,0.206584275,8.672452832,0.001850229,-0.018686179,0.004303295,0.000153072,-0.000282486,-0.000160095,0.001072474,-0.000944073,-0.000839410,0.973063703,-0.002900620,0.230518148,-0.000029423,0.011528156,-0.005530163,-0.004559705,0.000000000,-0.000000000,0.000000000
1782727127.517687798,-4.386247606,0.050501081,8.768504023,-0.002410829,-0.020816708,0.006433826,0.000157395,-0.000284880,-0.000164665,0.000458826,0.000096243,-0.000779329,0.973072860,-0.002926599,0.230479163,0.000005651,0.011528156,-0.005530163,-0.004559705,0.000000000,-0.000000000,0.000000000
1782727127.522068024,-4.359833529,0.016883165,8.828536017,-0.000280302,-0.008033535,0.005368561,0.000159766,-0.000283595,-0.000167840,0.000623814,0.000490349,-0.000670172,0.973077266,-0.002948754,0.230460273,0.000034500,0.011528156,-0.005530163,-0.004559705,0.000000000,-0.000000000,0.000000000
1782727127.527734756,-4.415062963,-0.047951389,8.876561612,0.003980756,-0.008033535,0.008564353,0.000164087,-0.000280153,-0.000170354,0.000901217,0.000724252,-0.000217102,0.973078818,-0.002967910,0.230453466,0.000072619,0.011528156,-0.005530163,-0.004559705,0.000000000,-0.000000000,0.000000000
1782727127.532070398,-4.093291476,-0.093575704,8.682057952,0.009307079,-0.008033535,0.007499088,0.000169265,-0.000277150,-0.000171718,0.001487406,0.000661007,-0.000412029,0.973080035,-0.002971923,0.230448265,0.000101637,0.011528156,-0.005530163,-0.004559705,0.000000000,-0.000000000,0.000000000
1782727127.537826300,-4.054870999,-0.151206418,8.634032356,0.007176552,-0.003772477,0.002172768,0.000181833,-0.000274459,-0.000177963,0.002879479,0.000274276,-0.001757857,0.973080251,-0.002974894,0.230447300,0.000130132,0.011528156,-0.005530163,-0.004559705,0.000000000,-0.000000000,0.000000000
1782727127.542188644,-4.153323470,-0.252060159,8.590809321,0.002915494,-0.001641948,0.000042237,0.000196248,-0.000274656,-0.000188111,0.003729328,-0.000364896,-0.002895029,0.973078788,-0.002985805,0.230453327,0.000145400,0.011528156,-0.005530163,-0.004559705,0.000000000,-0.000000000,0.000000000
1782727127.547834635,-4.503910314,-0.388933124,8.679656672,0.002915494,-0.002707212,-0.010610409,-0.009965108,0.000295011,-0.001431022,0.001593986,-0.000588868,-0.003807940,0.973198362,-0.004045192,0.229924409,0.001830711,0.011530174,-0.005529360,-0.004561726,0.000000005,-0.000000000,0.000000003
1782727127.551973104,-4.311807934,-0.340907529,8.818930898,0.007176552,0.000488581,-0.013806202,-0.009958719,0.000290041,-0.001446788,0.001493652,-0.001812962,-0.003811223,0.973196233,-0.004061904,0.229933221,0.001818360,0.011530174,-0.005529360,-0.004561726,0.000000005,-0.000000000,0.000000003
1782727127.557845354,-4.604764064,-0.290480635,8.857351374,0.018894460,0.002619110,-0.013806202,-0.009950455,0.000275158,-0.001467429,0.001320718,-0.003255781,-0.003218815,0.973191518,-0.004063882,0.229953358,0.001790844,0.011530174,-0.005529360,-0.004561726,0.000000005,-0.000000000,0.000000003
